2019-11-17 01:03:55 INFO  Logger:45 - this works
2019-11-17 17:18:51 INFO  Logger:23 - customerlogs in
2019-11-17 17:19:04 INFO  Logger:110 - Customer request to open a single account
2019-11-17 17:19:22 INFO  Logger:110 - Customer request to open a single account
2019-11-17 17:19:58 INFO  Logger:104 - Customer requests to open a joint account
2019-11-17 17:20:08 INFO  Logger:23 - adminlogs in
2019-11-17 17:20:32 INFO  Logger:23 - customerlogs in
2019-11-17 17:20:57 INFO  Logger:23 - customerlogs in
2019-11-17 17:21:24 INFO  Logger:23 - customerlogs in
2019-11-17 17:22:13 INFO  Logger:227 - A deposit has been made
2019-11-17 17:22:13 INFO  Logger:81 - $200.0 has been withdraw on the account 7883318
2019-11-17 17:26:33 INFO  Logger:23 - customerlogs in
2019-11-17 17:26:54 INFO  Logger:262 - A withdrawl has been done
2019-11-17 17:26:54 INFO  Logger:96 - $100.0 has been withdraw on the account 7883318
2019-11-17 17:27:24 INFO  Logger:23 - adminlogs in
2019-11-17 17:27:46 INFO  Logger:227 - A deposit has been made
2019-11-17 17:27:46 INFO  Logger:55 - $100.0 has been deposited on the account 7883318
2019-11-17 17:27:59 INFO  Logger:23 - adminlogs in
2019-11-17 17:28:18 INFO  Logger:227 - A deposit has been made
2019-11-17 17:28:18 INFO  Logger:262 - A withdrawl has been done
2019-11-17 17:28:18 INFO  Logger:285 - A transfer has been completed
2019-11-17 17:28:18 INFO  Logger:82 - $100.0 has been deposited on the account 7117057
2019-11-17 17:28:18 INFO  Logger:83 - $100.0 has been withdrawn from the account 7883318
2019-11-17 17:36:13 INFO  Logger:23 - adminlogs in
2019-11-17 17:37:16 INFO  Logger:23 - adminlogs in
2019-11-17 17:38:45 INFO  Logger:23 - customerlogs in
2019-11-17 17:38:52 INFO  Logger:23 - adminlogs in
2019-11-17 17:58:15 INFO  Logger:23 - adminlogs in
2019-11-17 17:59:11 INFO  Logger:23 - adminlogs in
2019-11-17 18:02:31 INFO  Logger:23 - adminlogs in
2019-11-17 18:09:12 INFO  Logger:23 - adminlogs in
2019-11-17 18:12:39 INFO  Logger:23 - employeelogs in
2019-11-17 18:12:51 INFO  Logger:262 - A withdrawl has been done
2019-11-17 18:12:51 INFO  Logger:66 - $100.0 has been deposited on the account 3910155
2019-11-18 15:12:43 INFO  Logger:23 - customerlogs in
2019-11-23 13:38:21 INFO  Logger:23 - customerlogs in
2019-11-23 19:12:06 INFO  Logger:15 - customerlogs in
2019-11-23 19:20:28 INFO  Logger:15 - customerlogs in
2019-11-23 19:20:55 INFO  Logger:111 - Customer requests to open a joint account
2019-11-23 19:23:01 INFO  Logger:15 - customerlogs in
2019-11-23 19:23:15 INFO  Logger:118 - Customer request to open a single account
2019-11-23 19:24:40 INFO  Logger:15 - newlogs in
2019-11-23 19:24:44 INFO  Logger:15 - customerlogs in
2019-11-23 19:24:58 INFO  Logger:118 - Customer request to open a single account
2019-11-23 19:27:28 INFO  Logger:15 - customerlogs in
2019-11-23 19:27:49 INFO  Logger:111 - Customer requests to open a joint account
2019-11-23 19:37:15 INFO  Logger:15 - adminlogs in
2019-11-23 19:38:21 INFO  Logger:15 - adminlogs in
2019-11-23 19:40:38 INFO  Logger:15 - adminlogs in
2019-11-23 20:00:20 INFO  Logger:15 - adminlogs in
2019-11-23 20:16:28 INFO  Logger:15 - adminlogs in
2019-11-23 20:17:10 INFO  Logger:15 - adminlogs in
2019-11-23 20:19:01 INFO  Logger:15 - adminlogs in
2019-11-23 20:21:33 INFO  Logger:15 - adminlogs in
2019-11-23 20:22:40 INFO  Logger:15 - adminlogs in
2019-11-23 20:23:17 INFO  Logger:15 - adminlogs in
2019-11-23 20:24:16 INFO  Logger:15 - adminlogs in
2019-11-23 20:25:00 INFO  Logger:15 - adminlogs in
2019-11-23 20:25:23 INFO  Logger:15 - adminlogs in
2019-11-23 20:26:35 INFO  Logger:15 - adminlogs in
2019-11-23 20:28:48 INFO  Logger:15 - adminlogs in
2019-11-23 20:29:07 INFO  Logger:15 - customerlogs in
